id_cliente,idade,regiao,categoria,renda_mensal,gastos_mensais,satisfacao
1,22,Norte,Intermediário,28000.0,12000.0,7.1
2,59,Nordeste,Básico,32000.0,15000.0,8.0
3,52,Centro-Oeste,Premium,35000.0,18000.0,8.0
4,41,Sul,Intermediário,2479.75,2136.23,8.1
5,40,Sudeste,Básico,2789.67,3572.33,6.3
6,63,Sudeste,Básico,3247.78,2836.07,7.7
7,22,Centro-Oeste,Intermediário,2454.79,2583.58,6.0
8,54,Norte,Básico,4443.09,1528.55,6.3
9,28,Nordeste,Intermediário,5294.57,1181.76,5.9
10,22,Sul,Premium,1819.35,2352.24,5.5
11,45,Norte,Básico,4237.69,1029.54,8.7
12,69,Sul,Básico,3870.1,1633.09,8.2
13,56,Sudeste,Premium,4712.26,1719.66,8.6
14,58,Nordeste,Intermediário,4180.59,2915.04,7.3
15,56,Sudeste,Básico,2019.6,1551.71,8.3
16,59,Sul,Premium,2306.42,300.0,4.7
17,45,Norte,Premium,4244.14,2153.11,8.4
18,24,Norte,Intermediário,5743.17,1310.68,7.4
19,62,Sudeste,Intermediário,1200.0,1829.84,8.1
20,41,Sul,Básico,4718.59,1739.31,7.7
21,44,Norte,Básico,5984.43,1608.41,5.8
22,37,Sudeste,Intermediário,3970.46,2353.24,5.1
23,27,Norte,Básico,5025.3,726.99,6.2
24,67,Sudeste,Intermediário,3145.4,1438.09,8.0
25,59,Sudeste,Premium,4020.95,2278.83,8.2
26,52,Norte,Básico,1768.63,1370.14,5.3
27,39,Sudeste,Intermediário,1200.0,673.84,5.8
28,61,Sul,Básico,5614.15,2267.99,6.2
29,46,Sul,Premium,2722.51,2586.17,6.7
30,41,Norte,Básico,3516.71,1768.5,5.3
31,41,Nordeste,Intermediário,2120.34,427.41,5.2
32,30,Nordeste,Intermediário,2085.05,2294.18,6.0
33,22,Centro-Oeste,Básico,3939.24,638.08,7.3
34,47,Norte,Intermediário,3105.63,2016.16,5.5
35,65,Sul,Intermediário,4766.96,1178.78,7.0
36,21,Sudeste,Intermediário,4878.81,988.11,8.7
37,63,Sul,Intermediário,4681.27,1490.66,5.4
38,61,Norte,Premium,4557.9,1671.69,6.9
39,32,Norte,Básico,6566.65,1349.05,8.6
40,51,Sul,Intermediário,2598.61,2212.09,6.6
41,26,Nordeste,Básico,4117.6,1487.75,6.4
42,58,Sudeste,Intermediário,5899.03,2486.13,8.8
43,55,Sul,Intermediário,6096.81,1996.82,6.8
44,36,Norte,Básico,2067.35,1311.71,8.7
45,21,Norte,Básico,3731.47,1193.84,7.8
46,69,Norte,Premium,6237.18,646.75,6.7
47,41,Norte,Básico,4962.12,2003.51,7.9
48,65,Norte,Intermediário,4492.89,1551.79,7.6
49,53,Sul,Básico,3873.47,300.0,8.6
50,59,Sudeste,Premium,3624.3,1425.0,6.4
51,58,Sul,Básico,4632.33,1169.28,7.3
52,28,Sul,Básico,3821.44,2902.97,7.1
53,37,Sul,Premium,4136.13,608.05,8.2
54,42,Nordeste,Premium,4317.9,791.05,5.8
55,44,Nordeste,Básico,3182.89,2576.98,8.6
56,20,Sul,Intermediário,4998.19,2749.73,7.9
57,46,Nordeste,Intermediário,8571.37,1278.51,5.4
58,26,Norte,Premium,1534.52,1357.54,8.9
59,57,Sudeste,Básico,4686.02,2231.36,10.0
60,54,Sul,Intermediário,3059.71,300.0,8.6
61,66,Sul,Intermediário,5066.1,497.16,9.2
62,57,Sul,Intermediário,4269.84,1603.49,7.3
63,37,Norte,Intermediário,5342.78,2884.92,4.9
64,69,Sudeste,Intermediário,5963.26,1494.99,4.6
65,39,Sul,Básico,4488.63,1870.66,7.6
